size\stride	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	
128m	1240	1252	1239	1210	1183	1145	1096	1034	911	838	777	719	638	595	562	559	
64m	1274	1251	1243	1203	1185	1171	1109	1036	939	855	795	729	652	598	580	567	
32m	1275	1254	1216	1228	1198	1172	1117	1033	941	864	796	731	654	599	580	568	
16m	1272	1261	1252	1229	1196	1168	1126	1038	966	859	812	751	674	612	595	568	
8m	1280	1267	1242	1225	1199	1170	1137	1087	1015	948	860	792	735	692	676	657	
4m	1269	1276	1250	1223	1202	1189	1149	1097	1057	1015	971	890	869	837	811	759	
2m	1290	1288	1284	1280	1268	1253	1241	1226	1218	1214	1211	1211	1207	1201	1110	1149	
1024k	1290	1289	1287	1284	1272	1260	1245	1230	1221	1216	1212	1210	1208	1205	1194	1192	
512k	1290	1288	1287	1284	1272	1259	1246	1231	1219	1217	1211	1210	1207	1204	1192	1191	
256k	1289	1288	1286	1283	1270	1259	1257	1260	1252	1250	1256	1251	1247	1243	1237	1232	
128k	1289	1288	1286	1283	1271	1259	1260	1265	1270	1258	1254	1267	1249	1256	1250	1238	
64k	1289	1287	1281	1275	1266	1256	1255	1263	1261	1253	1250	1254	1245	1254	1250	1248	
32k	1285	1281	1282	1276	1276	1273	1272	1268	1269	1260	1257	1256	1256	1255	1259	1250	
16k	1289	1284	1279	1270	1268	1270	1263	1256	1253	1250	1248	1244	1244	1243	1232	1224	
8k	1285	1276	1268	1263	1256	1243	1235	1233	1228	1243	1207	1204	1203	1197	1178	1183	
4k	1283	1265	1253	1234	1228	1208	1208	1190	1159	1173	1150	1124	1136	1121	1098	1058	
2k	1277	1243	1219	1176	1182	1130	1124	1069	1046	1009	1364	1372	1325	1336	1369	1357	
1k	1263	1199	1144	1104	1332	1264	977	909	1336	1371	1283	1470	1283	1561	1477	1556	
