Clock frequency is approx. 2394.6 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	
32m	2282.9	2206.3	2195.7	2165.3	2095.8	1849.8	1612.9	1400.3	1235.8	1101.0	993.5	937.2	889.8	829.1	789.1	745.4	705.8	741.2	731.9	751.9	771.1	765.7	816.6	828.3	823.8	824.1	807.1	805.5	790.2	779.1	784.3	784.6	763.0	794.5	810.1	785.9	788.7	795.9	805.9	811.7	815.9	801.1	1208.2	1153.6	1212.4	1172.2	1177.8	1173.0	1166.3	1175.2	1222.4	1164.6	1223.2	1158.2	1159.7	1172.9	1206.1	1139.0	1120.8	1207.1	1180.8	1162.7	1126.7	1092.0	
16m	2281.1	2225.1	2187.3	2213.1	2107.3	1889.5	1621.9	1427.8	1276.9	1118.3	1014.4	947.4	893.1	840.0	787.3	772.4	795.8	837.9	846.6	832.8	848.3	855.8	859.5	915.8	910.6	880.8	897.9	859.9	899.6	897.8	858.9	808.1	911.8	863.4	912.9	867.1	923.6	862.0	859.3	869.7	890.7	948.6	1182.8	1504.2	1571.9	1283.8	1422.4	1354.2	1388.1	1428.4	1965.7	1822.2	1526.1	1697.2	1961.5	1937.5	2099.0	1905.0	1613.2	1682.2	1937.2	2040.6	1829.7	1036.2	
8m	2286.3	2262.4	2221.9	2167.8	2192.8	1954.4	1686.0	1535.7	1309.1	1172.0	1111.4	1022.2	1011.2	1008.6	1047.5	910.9	944.5	1002.3	944.5	978.2	1007.6	981.4	986.2	979.8	993.7	979.7	994.9	1204.0	997.6	977.6	1015.1	947.4	1021.2	1058.9	1051.0	1091.2	1041.7	1064.4	1083.2	1124.3	1102.5	1132.3	1359.8	2075.2	2157.5	2124.2	2167.3	1332.5	2150.2	2207.5	2250.0	2156.7	2161.1	2223.0	2153.5	2163.9	2182.4	2280.6	2213.6	2201.0	2249.5	2126.2	2146.8	1030.5	
4m	2304.9	2300.6	2265.8	2179.2	2120.9	2079.0	1950.0	1862.9	1691.9	1620.3	1578.6	1473.6	1480.5	1424.9	1354.4	1283.4	1295.3	1220.2	1231.6	1247.9	1257.4	1184.3	1149.7	1183.0	1299.6	1178.6	1208.0	1220.1	1325.2	1327.8	1337.6	1139.6	1395.0	1363.6	1449.3	1780.2	1605.8	1770.1	1342.4	1748.7	1629.1	1905.6	1938.9	2210.2	2018.8	2276.9	2286.1	2043.9	2251.8	2234.2	2275.6	2288.8	2259.8	2272.1	2273.0	2238.5	2265.0	2279.5	2270.1	2272.0	2279.4	2276.1	2286.9	1487.8	
2m	2373.9	2362.1	2359.9	2371.4	2358.8	2335.6	2306.4	2265.4	2251.9	2251.7	2223.5	2234.8	2153.4	2194.0	2119.9	2152.1	2109.9	2149.6	2137.3	2080.4	2091.5	2093.5	2061.4	2115.1	2119.5	2193.0	2131.9	2167.1	2117.2	2098.7	2056.7	2025.6	2219.8	2197.7	2090.4	2197.4	2180.7	2213.6	2201.2	2223.0	2203.0	2149.3	2262.9	2279.5	2275.2	2276.0	2292.7	2281.9	2274.0	2270.1	2283.3	2287.9	2283.2	2274.5	2298.6	2278.7	2280.3	2275.0	2272.1	2292.8	2286.4	2301.8	2292.0	2110.4	
1024k	2393.9	2392.5	2379.7	2388.5	2369.3	2354.2	2330.5	2312.9	2304.2	2295.6	2288.9	2278.9	2274.9	2267.5	2238.3	2263.7	2262.9	2258.5	2247.5	2248.5	2243.2	2241.9	2240.5	2237.5	2232.4	2235.3	2233.4	2229.4	2233.0	2230.3	2232.9	2228.1	2229.0	2231.0	2230.6	2231.5	2232.8	2230.0	2247.7	2242.9	2239.4	2314.8	2321.6	2319.8	2324.3	2332.1	2331.8	2303.1	2327.7	2334.3	2340.1	2339.1	2334.4	2338.9	2329.8	2333.5	2323.8	2360.2	2335.1	2335.1	2330.3	2325.1	2334.1	2284.4	
512k	2393.9	2392.8	2380.1	2388.2	2369.1	2353.6	2335.3	2315.5	2305.6	2295.6	2291.4	2286.2	2277.1	2267.3	2241.3	2265.6	2263.8	2261.0	2256.1	2247.0	2246.7	2253.3	2246.6	2247.6	2250.5	2246.1	2242.1	2251.2	2243.8	2249.9	2255.9	2235.2	2278.8	2263.4	2305.5	2296.9	2322.4	2334.2	2328.1	2341.6	2334.6	2339.5	2355.8	2328.2	2321.9	2329.6	2317.0	2329.8	2335.3	2348.3	2324.5	2332.6	2333.3	2323.8	2333.9	2337.5	2317.5	2332.0	2318.7	2322.6	2319.1	2324.3	2334.1	2276.0	
256k	2393.5	2391.9	2378.3	2387.1	2368.4	2356.8	2336.4	2332.9	2327.5	2326.2	2314.1	2319.7	2301.0	2292.7	2275.6	2293.2	2302.4	2299.6	2303.5	2313.6	2311.9	2312.4	2311.9	2316.8	2315.8	2318.5	2309.9	2319.3	2317.7	2324.9	2323.5	2280.8	2348.2	2337.4	2356.3	2338.8	2358.0	2356.1	2361.3	2342.5	2334.4	2341.0	2327.1	2349.3	2347.1	2343.2	2361.6	2347.4	2364.2	2352.0	2343.1	2350.4	2362.6	2361.1	2345.4	2341.1	2369.9	2362.2	2356.5	2359.5	2354.1	2368.3	2334.1	2264.2	
128k	2392.9	2390.3	2378.0	2385.6	2368.6	2352.5	2336.4	2339.5	2335.2	2343.7	2328.8	2327.3	2322.5	2292.3	2299.6	2288.0	2289.5	2297.2	2296.1	2304.3	2299.9	2307.1	2332.4	2327.3	2362.6	2321.9	2356.8	2345.5	2370.0	2353.2	2343.7	2312.2	2337.5	2098.0	2092.8	2093.3	2091.2	2089.9	2088.8	2088.6	2079.7	2351.7	2355.2	2346.6	2347.9	2349.3	2340.1	2333.1	2345.5	2342.8	2344.5	2349.9	2327.8	2339.7	2348.3	2337.7	2331.8	2338.7	2345.0	2333.7	2335.9	2330.7	2331.9	2264.2	
64k	2391.0	2388.5	2375.3	2384.7	2357.4	2345.5	2330.9	2365.8	2361.6	2340.4	2342.4	2339.8	2323.2	2330.9	2340.5	2310.6	2367.0	2348.8	2353.0	2349.5	2349.5	2342.0	2349.3	2348.2	2332.4	2352.6	2334.1	2334.8	2338.7	2340.0	2317.9	2305.7	2306.3	2341.2	2316.7	2324.4	2325.1	2324.5	2316.1	2334.8	2257.6	2310.2	2317.1	2307.9	2292.3	2300.9	2299.0	2293.8	2305.0	2303.2	2299.8	2317.4	2305.1	2305.3	2296.3	2300.3	2310.2	2287.3	2283.6	2275.9	2262.0	2286.5	2280.6	2233.3	
